"URI","rdf-schema#label","animator_label","animator","developer_label","developer","director_label","director","distributor_label","distributor","imdbId","language_label","language","producer_label","producer","series_label","series","status","22-rdf-syntax-ns#type_label","22-rdf-syntax-ns#type","owl#differentFrom_label","owl#differentFrom"
"http://dbpedia.org/resource/Happy_You_and_Merry_Me","Happy You and Merry Me","{Willard Bowsky|George_Germanetti}","{http://dbpedia.org/resource/Willard_Bowsky|http://dbpedia.org/resource/George_Germanetti}","NULL","NULL","Dave Fleischer","http://dbpedia.org/resource/Dave_Fleischer","Paramount Pictures","http://dbpedia.org/resource/Paramount_Pictures","NULL","NULL","NULL","Max Fleischer","http://dbpedia.org/resource/Max_Fleischer","Betty Boop","http://dbpedia.org/resource/Betty_Boop","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
"http://dbpedia.org/resource/Hare-Abian_Nights","Hare-Abian Nights","{Ken Harris|Ben Washam}","{http://dbpedia.org/resource/Ken_Harris|http://dbpedia.org/resource/Ben_Washam}","NULL","NULL","Ken Harris","http://dbpedia.org/resource/Ken_Harris","{Warner Bros.|Vitaphone}","{http://dbpedia.org/resource/Warner_Bros.|http://dbpedia.org/resource/Vitaphone}","NULL","NULL","NULL","John W. Burton (film producer)","http://dbpedia.org/resource/John_W._Burton_(film_producer)","Merrie Melodies","http://dbpedia.org/resource/Merrie_Melodies","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
"http://dbpedia.org/resource/Hare-Breadth_Hurry","Hare-Breadth Hurry","{Ken Harris|Richard Thompson (animator)|Harry Love (animator)|Tom Ray|Bob_Bransford}","{http://dbpedia.org/resource/Ken_Harris|http://dbpedia.org/resource/Richard_Thompson_(animator)|http://dbpedia.org/resource/Harry_Love_(animator)|http://dbpedia.org/resource/Tom_Ray|http://dbpedia.org/resource/Bob_Bransford}","NULL","NULL","{Chuck Jones|Maurice Noble}","{http://dbpedia.org/resource/Chuck_Jones|http://dbpedia.org/resource/Maurice_Noble}","Warner Bros.","http://dbpedia.org/resource/Warner_Bros.","NULL","NULL","NULL","David H. DePatie","http://dbpedia.org/resource/David_H._DePatie","{Looney Tunes|Wile E. Coyote and The Road Runner}","{http://dbpedia.org/resource/Looney_Tunes|http://dbpedia.org/resource/Wile_E._Coyote_and_The_Road_Runner}","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
"http://dbpedia.org/resource/Hare-Less_Wolf","Hare-Less Wolf","{Arthur Davis (animator)|Gerry Chiniquy|Virgil Ross}","{http://dbpedia.org/resource/Arthur_Davis_(animator)|http://dbpedia.org/resource/Gerry_Chiniquy|http://dbpedia.org/resource/Virgil_Ross}","NULL","NULL","Friz Freleng","http://dbpedia.org/resource/Friz_Freleng","Warner Bros.","http://dbpedia.org/resource/Warner_Bros.","NULL","NULL","NULL","John W. Burton (film producer)","http://dbpedia.org/resource/John_W._Burton_(film_producer)","{Bugs Bunny|Merrie Melodies}","{http://dbpedia.org/resource/Bugs_Bunny|http://dbpedia.org/resource/Merrie_Melodies}","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
"http://dbpedia.org/resource/Hare-Way_to_the_Stars","Hare-Way to the Stars","{Ken Harris|Abe Levitow|Richard Thompson (animator)|Harry Love (animator)}","{http://dbpedia.org/resource/Ken_Harris|http://dbpedia.org/resource/Abe_Levitow|http://dbpedia.org/resource/Richard_Thompson_(animator)|http://dbpedia.org/resource/Harry_Love_(animator)}","NULL","NULL","Chuck Jones","http://dbpedia.org/resource/Chuck_Jones","{Warner Bros.|Vitaphone}","{http://dbpedia.org/resource/Warner_Bros.|http://dbpedia.org/resource/Vitaphone}","NULL","NULL","NULL","Edward Selzer","http://dbpedia.org/resource/Edward_Selzer","{Looney Tunes|Marvin the Martian}","{http://dbpedia.org/resource/Looney_Tunes|http://dbpedia.org/resource/Marvin_the_Martian}","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
"http://dbpedia.org/resource/Hare-um_Scare-um","Hare-um Scare-um","{Gil Turner|Richard_Bickenbach|Herman_R._Cohen}","{http://dbpedia.org/resource/Gil_Turner|http://dbpedia.org/resource/Richard_Bickenbach|http://dbpedia.org/resource/Herman_R._Cohen}","NULL","NULL","{Ben Hardaway|Cal Dalton}","{http://dbpedia.org/resource/Ben_Hardaway|http://dbpedia.org/resource/Cal_Dalton}","Warner Bros.","http://dbpedia.org/resource/Warner_Bros.","NULL","NULL","NULL","Leon Schlesinger","http://dbpedia.org/resource/Leon_Schlesinger","Merrie Melodies","http://dbpedia.org/resource/Merrie_Melodies","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
"http://dbpedia.org/resource/Hare_Brush","Hare Brush","{Arthur Davis (animator)|Gerry Chiniquy}","{http://dbpedia.org/resource/Arthur_Davis_(animator)|http://dbpedia.org/resource/Gerry_Chiniquy}","NULL","NULL","Friz Freleng","http://dbpedia.org/resource/Friz_Freleng","Warner Bros.","http://dbpedia.org/resource/Warner_Bros.","NULL","NULL","NULL","Edward Selzer","http://dbpedia.org/resource/Edward_Selzer","Merrie Melodies","http://dbpedia.org/resource/Merrie_Melodies","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
"http://dbpedia.org/resource/Hare_Conditioned","Hare Conditioned","{Ken Harris|Ben Washam}","{http://dbpedia.org/resource/Ken_Harris|http://dbpedia.org/resource/Ben_Washam}","NULL","NULL","Chuck Jones","http://dbpedia.org/resource/Chuck_Jones","{Warner Bros.|Vitaphone}","{http://dbpedia.org/resource/Warner_Bros.|http://dbpedia.org/resource/Vitaphone}","NULL","NULL","NULL","Edward Selzer","http://dbpedia.org/resource/Edward_Selzer","Looney Tunes","http://dbpedia.org/resource/Looney_Tunes","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
"http://dbpedia.org/resource/Hare_Do","Hare Do","{Gerry Chiniquy|Virgil Ross|Manuel Perez (animator)}","{http://dbpedia.org/resource/Gerry_Chiniquy|http://dbpedia.org/resource/Virgil_Ross|http://dbpedia.org/resource/Manuel_Perez_(animator)}","NULL","NULL","Friz Freleng","http://dbpedia.org/resource/Friz_Freleng","{Warner Bros.|Vitaphone}","{http://dbpedia.org/resource/Warner_Bros.|http://dbpedia.org/resource/Vitaphone}","NULL","NULL","NULL","Edward Selzer","http://dbpedia.org/resource/Edward_Selzer","Merrie Melodies","http://dbpedia.org/resource/Merrie_Melodies","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
"http://dbpedia.org/resource/Hare_Force","Hare Force","{Jack Bradbury|Gerry Chiniquy|Virgil Ross|Manuel Perez (animator)|Ken_Champin|Richard_Bickenbach}","{http://dbpedia.org/resource/Jack_Bradbury|http://dbpedia.org/resource/Gerry_Chiniquy|http://dbpedia.org/resource/Virgil_Ross|http://dbpedia.org/resource/Manuel_Perez_(animator)|http://dbpedia.org/resource/Ken_Champin|http://dbpedia.org/resource/Richard_Bickenbach}","NULL","NULL","Friz Freleng","http://dbpedia.org/resource/Friz_Freleng","{Warner Bros.|Vitaphone}","{http://dbpedia.org/resource/Warner_Bros.|http://dbpedia.org/resource/Vitaphone}","NULL","NULL","NULL","Leon Schlesinger","http://dbpedia.org/resource/Leon_Schlesinger","Merrie Melodies","http://dbpedia.org/resource/Merrie_Melodies","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
