"property","object"
"http://dbpedia.org/ontology/wikiPageID",22819997
"http://dbpedia.org/ontology/wikiPageRevisionID",744866803
"http://dbpedia.org/ontology/wikiPageExternalLink","http://www.hagaren.jp/fa/index.html"
"http://dbpedia.org/ontology/wikiPageExternalLink","http://www.adultswim.com/shows/fullmetal/index.html"
"http://dbpedia.org/ontology/wikiPageExternalLink","http://fullmetalalchemist.com.au/"
"http://dbpedia.org/ontology/wikiPageExternalLink","http://www.animecentral.com/series/series.aspx?ID=4"
"http://xmlns.com/foaf/0.1/homepage","http://www.hagaren.jp/fa/index.html"
"http://dbpedia.org/property/name","Fullmetal Alchemist: Brotherhood"
"http://xmlns.com/foaf/0.1/isPrimaryTopicOf","http://en.wikipedia.org/wiki/Fullmetal_Alchemist:_Brotherhood"
"http://www.w3.org/ns/prov#wasDerivedFrom","http://en.wikipedia.org/wiki/Fullmetal_Alchemist:_Brotherhood?oldid=744866803"
"http://dbpedia.org/ontology/abstract","Fullmetal Alchemist: Brotherhood (鋼の錬金術師 FULLMETAL ALCHEMIST, Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST) est la deuxième adaptation animée du manga Fullmetal Alchemist d'Hiromu Arakawa. Elle est produite par le studio Bones et est diffusée du 5 avril 2009 au 4 juillet 2010 au Japon sur MBS et en simulcast dans les pays francophones, une semaine après la diffusion japonaise, par Dybex. Cette nouvelle série, annoncée à la fin de l'édition japonaise du tome 20, se veut plus fidèle à l'histoire et à l'esprit du manga que ne l'avait été la première adaptation (qui n'avait respecté que les 4 premiers tomes). La série adapte ainsi le manga dans son intégralité. En France, Virgin 17 a diffusé les 9 premiers épisodes entre le 19 octobre 2009 et le 21 décembre 2009. Puis, la série a été diffusée du 26 septembre 2010 à fin décembre 2010 sur MCM dans l'émission Ultra Manga présentée par Noémie Alazard. La série a ensuite été diffusée dans son intégralité du 4 juillet 2011 au 26 août 2011 sur la chaîne Direct Star. La série a été également disponible sur Netflix pendant un temps mais a disparu du catalogue."
"http://dbpedia.org/ontology/abstract","『鋼の錬金術師 FULLMETAL ALCHEMIST』（はがねのれんきんじゅつし フルメタル アルケミスト）は、ボンズ制作の日本のアニメ。テレビシリーズアニメとして2009年4月5日から2010年7月4日までMBS・TBS系列 (JNN) ほかにおいて放送された。"
"http://dbpedia.org/ontology/abstract","《鋼之鍊金術師 FULLMETAL ALCHEMIST》，為漫畫《鋼之鍊金術師》二度動畫化作品，和前作動畫「鋼之鍊金術師」一樣由BONES製作，於2009年4月5日起播出。原預定在2010年6月與原作漫畫一起完結，但後來變更延至7月4日，全64話。 2015年，在加拿大影音商業網WatchMojo.com的十大最佳動畫片尾曲（Top 10 Anime Ending Themes）榜單中，本作的「謊言」（嘘）名列第四。"
