"URI","rdf-schema#label","author_label","author","budget","cinematography_label","cinematography","director_label","director","distributor_label","distributor","editing_label","editing","firstPublicationDate","gross","illustrator_label","illustrator","imdbId","lastPublicationDate","magazine_label","magazine","musicComposer_label","musicComposer","numberOfVolumes","producer_label","producer","publisher_label","publisher","runtime","soundRecording_label","soundRecording","starring_label","starring","type_label","type","22-rdf-syntax-ns#type_label","22-rdf-syntax-ns#type","rdf-schema#seeAlso_label","rdf-schema#seeAlso","owl#differentFrom_label","owl#differentFrom"
"http://dbpedia.org/resource/Saint_Seiya:_Next_Dimension","Saint Seiya: Next Dimension","Masami Kurumada","http://dbpedia.org/resource/Masami_Kurumada","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2006-04-27","NULL","NULL","NULL","NULL","NULL","Weekly Shōnen Champion","http://dbpedia.org/resource/Weekly_Shōnen_Champion","NULL","NULL","9","NULL","NULL","Akita Shoten","http://dbpedia.org/resource/Akita_Shoten","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Saint_Seiya:_Saintia_Shō","Saint Seiya: Saintia Shō","Chimaki_Kuori","http://dbpedia.org/resource/Chimaki_Kuori","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2013-08-19","NULL","NULL","NULL","NULL","NULL","Champion Red","http://dbpedia.org/resource/Champion_Red","NULL","NULL","6","NULL","NULL","Akita Shoten","http://dbpedia.org/resource/Akita_Shoten","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Saint_Seiya:_The_Lost_Canvas","Saint Seiya: The Lost Canvas","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{2006-08-24|2011-05-19}","NULL","NULL","NULL","NULL","2011-04-06","{Weekly Shōnen Champion|Akita Shoten}","{http://dbpedia.org/resource/Weekly_Shōnen_Champion|http://dbpedia.org/resource/Akita_Shoten}","NULL","NULL","{14|25}","NULL","NULL","Akita Shoten","http://dbpedia.org/resource/Akita_Shoten","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","List of Saint Seiya: The Lost Canvas characters","http://dbpedia.org/resource/List_of_Saint_Seiya:_The_Lost_Canvas_characters","NULL","NULL"
"http://dbpedia.org/resource/Saint_Seiya_Episode.G","Saint Seiya Episode.G","Megumu Okada","http://dbpedia.org/resource/Megumu_Okada","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{2002-12-19|2007-10-19|2014-04-05}","NULL","NULL","NULL","NULL","{2008-01-19|2013-06-19}","Champion Red","http://dbpedia.org/resource/Champion_Red","NULL","NULL","{1|5|20}","NULL","NULL","Akita Shoten","http://dbpedia.org/resource/Akita_Shoten","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","{List of Saint Seiya Episode.G characters|List of Saint Seiya Episode.G chapters}","{http://dbpedia.org/resource/List_of_Saint_Seiya_Episode.G_characters|http://dbpedia.org/resource/List_of_Saint_Seiya_Episode.G_chapters}","NULL","NULL"
"http://dbpedia.org/resource/Saint_Seiya_Omega__manga__1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2013-03-26","NULL","NULL","NULL","NULL","2013-07-26","Kerokero Ace","http://dbpedia.org/resource/Kerokero_Ace","NULL","NULL","1","NULL","NULL","Kadokawa Shoten","http://dbpedia.org/resource/Kadokawa_Shoten","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Saint_Tail","Saint Tail","Megumi Tachikawa","http://dbpedia.org/resource/Megumi_Tachikawa","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Nakayoshi","http://dbpedia.org/resource/Nakayoshi","NULL","NULL","7","NULL","NULL","Kodansha","http://dbpedia.org/resource/Kodansha","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Saint_Young_Men","Saint Young Men","Hikaru Nakamura (artist)","http://dbpedia.org/resource/Hikaru_Nakamura_(artist)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2006-09-22","NULL","NULL","NULL","NULL","NULL","Morning_2","http://dbpedia.org/resource/Morning_2","NULL","NULL","12","NULL","NULL","Kodansha","http://dbpedia.org/resource/Kodansha","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Saiyuki_(manga)","Saiyuki (manga)","Kazuya Minekura","http://dbpedia.org/resource/Kazuya_Minekura","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{1997-02-18|2002-03-28|2009-12-28}","NULL","NULL","NULL","NULL","{2002-01-18|2009-06-27}","{Gangan Comics|Monthly Comic Zero Sum}","{http://dbpedia.org/resource/Gangan_Comics|http://dbpedia.org/resource/Monthly_Comic_Zero_Sum}","NULL","NULL","{9|10}","NULL","NULL","Enix","http://dbpedia.org/resource/Enix","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","List of Saiyuki characters","http://dbpedia.org/resource/List_of_Saiyuki_characters","NULL","NULL"
"http://dbpedia.org/resource/Saki_(manga)","Saki (manga)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{2006-02-03|2011-06-17|2013-09-25}","NULL","Aguri Igarashi","http://dbpedia.org/resource/Aguri_Igarashi","NULL","NULL","Gangan Comics","http://dbpedia.org/resource/Gangan_Comics","NULL","NULL","{3|6|13}","NULL","NULL","Square Enix","http://dbpedia.org/resource/Square_Enix","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","{Saki (manga)|List of Saki chapters|List of Saki episodes|Which_lists_both_Saki|Its_spin-off}","{http://dbpedia.org/resource/Saki_(manga)|http://dbpedia.org/resource/List_of_Saki_chapters|http://dbpedia.org/resource/List_of_Saki_episodes|http://dbpedia.org/resource/Which_lists_both_Saki|http://dbpedia.org/resource/Its_spin-off}","NULL","NULL"
"http://dbpedia.org/resource/Sakigake!!_Otokojuku","Sakigake!! Otokojuku","Akira_Miyashita","http://dbpedia.org/resource/Akira_Miyashita","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{2014-04-04|2014-04-25}","NULL","NULL","NULL","NULL","NULL","{Weekly Shōnen Jump|Weekly Playboy|Super Jump|Weekly Manga Goraku}","{http://dbpedia.org/resource/Weekly_Shōnen_Jump|http://dbpedia.org/resource/Weekly_Playboy|http://dbpedia.org/resource/Super_Jump|http://dbpedia.org/resource/Weekly_Manga_Goraku}","NULL","NULL","{3|10|25|27|34}","NULL","NULL","{Nihon Bungeisha|Shueisha}","{http://dbpedia.org/resource/Nihon_Bungeisha|http://dbpedia.org/resource/Shueisha}","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","List of Sakigake!! Otokojuku characters","http://dbpedia.org/resource/List_of_Sakigake!!_Otokojuku_characters","NULL","NULL"
